R: 107 	 G: 116 	 B: 96
R: 15 	 G: 24 	 B: 4
R: 77 	 G: 85 	 B: 66
R: 66 	 G: 75 	 B: 55
R: 43 	 G: 42 	 B: 15
R: 115 	 G: 114 	 B: 86
R: 74 	 G: 73 	 B: 45
R: 105 	 G: 104 	 B: 76
R: 154 	 G: 141 	 B: 117
R: 154 	 G: 141 	 B: 117
R: 143 	 G: 130 	 B: 107
R: 143 	 G: 130 	 B: 107
R: 143 	 G: 117 	 B: 109
R: 113 	 G: 86 	 B: 78
R: 113 	 G: 86 	 B: 78
R: 103 	 G: 76 	 B: 68
R: 125 	 G: 110 	 B: 98
R: 135 	 G: 120 	 B: 108
R: 115 	 G: 100 	 B: 88
R: 145 	 G: 130 	 B: 119
R: 137 	 G: 136 	 B: 108
R: 137 	 G: 136 	 B: 108
R: 137 	 G: 136 	 B: 108
R: 116 	 G: 115 	 B: 88
R: 134 	 G: 133 	 B: 105
R: 103 	 G: 102 	 B: 74
R: 103 	 G: 102 	 B: 74
R: 113 	 G: 112 	 B: 84
R: 133 	 G: 118 	 B: 106
R: 235 	 G: 220 	 B: 208
R: 113 	 G: 98 	 B: 86
R: 235 	 G: 220 	 B: 208
R: 218 	 G: 213 	 B: 209
R: 126 	 G: 121 	 B: 117
R: 208 	 G: 203 	 B: 199
R: 157 	 G: 152 	 B: 148
R: 181 	 G: 176 	 B: 172
R: 171 	 G: 166 	 B: 162
R: 171 	 G: 166 	 B: 162
R: 160 	 G: 155 	 B: 152
R: 177 	 G: 174 	 B: 158
R: 156 	 G: 153 	 B: 138
R: 126 	 G: 123 	 B: 107
R: 126 	 G: 123 	 B: 107
R: 234 	 G: 219 	 B: 207
R: 204 	 G: 189 	 B: 177
R: 193 	 G: 178 	 B: 167
R: 244 	 G: 229 	 B: 218
R: 224 	 G: 209 	 B: 198
R: 184 	 G: 169 	 B: 157
R: 153 	 G: 138 	 B: 126
R: 153 	 G: 138 	 B: 126
R: 155 	 G: 140 	 B: 128
R: 165 	 G: 150 	 B: 139
R: 196 	 G: 181 	 B: 169
R: 186 	 G: 171 	 B: 159
R: 131 	 G: 116 	 B: 104
R: 100 	 G: 85 	 B: 74
R: 111 	 G: 96 	 B: 84
R: 100 	 G: 85 	 B: 74
R: 107 	 G: 92 	 B: 80
R: 117 	 G: 102 	 B: 90
R: 127 	 G: 112 	 B: 101
R: 97 	 G: 82 	 B: 70
R: 129 	 G: 115 	 B: 103
R: 160 	 G: 145 	 B: 133
R: 99 	 G: 84 	 B: 72
R: 150 	 G: 135 	 B: 123
R: 157 	 G: 142 	 B: 130
R: 137 	 G: 122 	 B: 110
R: 106 	 G: 91 	 B: 79
R: 106 	 G: 91 	 B: 79
R: 178 	 G: 161 	 B: 161
R: 147 	 G: 130 	 B: 131
R: 147 	 G: 130 	 B: 131
R: 158 	 G: 141 	 B: 141
R: 78 	 G: 73 	 B: 70
R: 129 	 G: 124 	 B: 121
R: 150 	 G: 145 	 B: 141
R: 119 	 G: 114 	 B: 110
R: 143 	 G: 138 	 B: 134
R: 72 	 G: 67 	 B: 63
R: 61 	 G: 57 	 B: 53
R: 31 	 G: 26 	 B: 22
R: 85 	 G: 80 	 B: 76
R: 156 	 G: 151 	 B: 147
R: 85 	 G: 80 	 B: 76
R: 156 	 G: 151 	 B: 147
R: 187 	 G: 172 	 B: 161
R: 177 	 G: 162 	 B: 150
